ID,AGE,GENDER,REGION,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SAFETY_RATING,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,CLAIM_AMOUNT
2072,40-64,female,East Midlands,20-29y,none,upper_class,0.926,1.0,before_2010,1.0,0.0,54321,9993.0,small_hatchback,basic,0,0,1,0.0,0.0
2073,40-64,female,West Midlands,20-29y,university,working_class,0.667,0.0,2010-2015,1.0,1.0,45678,6545.0,family_sedan,standard,0,0,0,0.0,0.0
2074,26-39,female,West Midlands,10-19y,university,upper_class,0.85,1.0,after_2020,0.0,1.0,32765,3855.0,suv,standard,1,0,0,0.0,0.0
2075,16-25,female,North East,0-2y,university,working_class,0.8,1.0,after_2020,0.0,0.0,32765,8684.0,suv,standard,1,0,0,1.0,1007.04
2076,26-39,female,London,0-9y,high_school,working_class,0.587,1.0,2010-2015,0.0,0.0,45678,2180.0,sports_car,standard,0,0,0,0.0,0.0
2077,26-39,male,Wales,10-19y,university,working_class,0.568,1.0,2010-2015,1.0,0.0,54321,8496.0,family_sedan,standard,0,0,0,0.0,0.0
2078,26-39,male,West Midlands,0-9y,high_school,upper_class,0.937,1.0,after_2020,0.0,0.0,45678,5420.0,family_sedan,basic,0,1,0,1.0,1500.0
2079,26-39,male,South East,0-9y,high_school,middle_class,0.746,1.0,2010-2015,1.0,1.0,78901,12443.0,family_sedan,standard,0,0,0,0.0,0.0
2080,40-64,male,East Anglia,10-19y,high_school,working_class,0.293,1.0,2010-2015,0.0,0.0,32765,11092.0,luxury_sedan,standard,0,0,0,0.0,0.0
2081,26-39,male,North West,10-19y,high_school,middle_class,0.656,1.0,after_2020,1.0,0.0,45678,2784.0,sports_car,advanced,0,0,0,0.0,0.0
2082,65+,female,Scotland,30y+,university,upper_class,0.476,1.0,2010-2015,1.0,0.0,10238,8572.0,suv,basic,0,0,0,0.0,0.0
2083,26-39,female,West Midlands,10-19y,university,middle_class,0.809,1.0,2010-2015,1.0,1.0,78901,4493.0,small_hatchback,standard,1,0,0,0.0,0.0
2084,65+,female,North West,30y+,high_school,middle_class,0.813,1.0,2016-2020,1.0,1.0,67890,2496.0,family_sedan,standard,1,0,0,0.0,0.0
2085,26-39,male,North East,10-19y,postgraduate,working_class,0.373,0.0,after_2020,1.0,1.0,45678,9072.0,sports_car,standard,0,0,0,0.0,0.0
2086,65+,female,Yorkshire,30y+,high_school,working_class,0.735,1.0,2016-2020,0.0,0.0,45678,8476.0,luxury_sedan,standard,1,0,0,0.0,0.0
2087,65+,female,North East,30y+,postgraduate,middle_class,0.568,1.0,2010-2015,0.0,0.0,45678,8063.0,suv,standard,2,0,0,1.0,523.1
2088,65+,male,East Midlands,30y+,university,middle_class,0.681,1.0,2010-2015,0.0,0.0,78901,2459.0,family_sedan,standard,1,0,0,0.0,0.0
2089,40-64,male,East Anglia,20-29y,university,working_class,0.335,1.0,2010-2015,1.0,0.0,54321,6833.0,mpv,advanced,3,0,0,0.0,0.0
2090,16-25,female,North West,0-2y,postgraduate,middle_class,0.444,1.0,before_2010,0.0,1.0,78901,7838.0,family_sedan,basic,0,0,0,1.0,2600.0
2091,40-64,female,Scotland,20-29y,high_school,working_class,0.623,1.0,before_2010,1.0,1.0,10238,5842.0,small_hatchback,standard,0,0,0,0.0,0.0
2092,16-25,male,Wales,3-5y,university,working_class,0.459,1.0,2010-2015,0.0,0.0,45678,2632.0,sports_car,standard,3,0,0,0.0,0.0
2093,40-64,male,East Anglia,20-29y,none,working_class,0.397,1.0,2016-2020,1.0,1.0,67890,9398.0,suv,standard,0,0,0,0.0,0.0
2094,26-39,female,North West,10-19y,high_school,working_class,0.535,1.0,before_2010,1.0,0.0,78901,5164.0,small_hatchback,advanced,3,0,0,0.0,0.0
2095,40-64,female,North West,20-29y,none,poverty,0.267,1.0,after_2020,1.0,0.0,78901,3283.0,luxury_sedan,standard,0,0,0,0.0,0.0
2096,40-64,male,Yorkshire,20-29y,university,working_class,0.506,1.0,2010-2015,0.0,0.0,45678,6831.0,family_sedan,standard,0,0,1,0.0,0.0
2097,26-39,female,Wales,10-19y,university,working_class,0.709,1.0,after_2020,0.0,1.0,54321,9056.0,family_sedan,basic,0,0,0,0.0,0.0
2098,26-39,male,North East,0-9y,university,working_class,0.301,1.0,before_2010,1.0,0.0,45678,10802.0,sports_car,basic,0,0,0,0.0,0.0
2099,65+,male,South East,30y+,postgraduate,working_class,0.456,1.0,2010-2015,1.0,0.0,45678,1427.0,small_hatchback,standard,0,0,0,0.0,0.0
2100,65+,male,Scotland,30y+,university,working_class,0.617,1.0,2016-2020,1.0,1.0,67890,9475.0,suv,advanced,0,0,0,0.0,0.0
2101,26-39,male,Scotland,10-19y,university,working_class,0.264,1.0,2010-2015,1.0,0.0,78901,6575.0,suv,basic,0,0,0,0.0,0.0
2102,40-64,female,Wales,20-29y,high_school,middle_class,0.585,1.0,after_2020,0.0,0.0,32765,7671.0,mpv,standard,0,0,0,1.0,1151.38
2103,65+,male,South East,30y+,postgraduate,poverty,0.262,1.0,after_2020,0.0,1.0,45678,2817.0,small_hatchback,standard,0,0,0,0.0,0.0
2104,40-64,female,West Midlands,20-29y,university,middle_class,0.687,1.0,2016-2020,1.0,1.0,45678,1529.0,suv,basic,0,0,0,0.0,0.0
2105,26-39,male,Scotland,0-9y,university,middle_class,0.614,0.0,2010-2015,0.0,0.0,45678,5734.0,luxury_sedan,basic,0,0,0,0.0,0.0
2106,26-39,male,South East,10-19y,high_school,middle_class,0.69,0.0,before_2010,0.0,0.0,10238,9338.0,sports_car,standard,1,0,0,0.0,0.0
2107,16-25,male,North West,0-2y,postgraduate,middle_class,0.935,1.0,after_2020,1.0,0.0,67890,2328.0,suv,standard,2,0,0,1.0,5255.25
2108,26-39,male,South West,10-19y,high_school,upper_class,0.762,1.0,after_2020,1.0,0.0,32765,6694.0,mpv,standard,0,0,0,0.0,0.0
2109,65+,female,North East,30y+,high_school,middle_class,0.791,1.0,after_2020,0.0,0.0,32765,5207.0,family_sedan,advanced,0,0,0,0.0,0.0
2110,40-64,male,East Anglia,20-29y,none,working_class,0.391,1.0,2010-2015,0.0,0.0,45678,8920.0,luxury_sedan,advanced,0,0,0,0.0,0.0
2111,40-64,female,Scotland,10-19y,none,working_class,0.306,0.0,2016-2020,0.0,0.0,45678,7884.0,small_hatchback,standard,0,0,0,0.0,0.0
2112,40-64,female,South West,20-29y,postgraduate,middle_class,0.741,1.0,2010-2015,0.0,0.0,78901,11618.0,mpv,standard,1,0,0,0.0,0.0
2113,26-39,male,South West,10-19y,high_school,upper_class,0.874,1.0,2010-2015,0.0,0.0,32765,7571.0,sports_car,standard,0,0,0,0.0,0.0
2114,65+,female,East Midlands,30y+,high_school,middle_class,0.752,0.0,before_2010,0.0,0.0,67890,8413.0,luxury_sedan,standard,0,0,0,0.0,0.0
2115,65+,male,North East,30y+,university,poverty,0.63,1.0,2010-2015,0.0,0.0,78901,5124.0,family_sedan,standard,0,0,0,0.0,0.0
2116,26-39,female,North East,10-19y,high_school,upper_class,0.716,0.0,before_2010,0.0,0.0,78901,9599.0,family_sedan,advanced,0,0,0,0.0,0.0
2117,40-64,male,Scotland,20-29y,university,working_class,0.266,1.0,after_2020,1.0,0.0,67890,9287.0,suv,standard,0,0,0,1.0,1500.0
2118,40-64,male,East Midlands,20-29y,high_school,working_class,0.509,1.0,2016-2020,1.0,1.0,45678,11361.0,suv,advanced,0,0,0,0.0,0.0
2119,16-25,male,North East,3-5y,university,poverty,0.266,1.0,2010-2015,0.0,0.0,10238,3342.0,family_sedan,standard,0,0,0,0.0,0.0
2120,16-25,female,East Midlands,0-2y,university,working_class,0.195,1.0,2010-2015,0.0,0.0,32765,6627.0,small_hatchback,standard,0,0,0,1.0,1048.0
2121,40-64,male,Wales,20-29y,postgraduate,middle_class,0.589,1.0,2016-2020,1.0,1.0,78901,1870.0,family_sedan,basic,0,0,0,0.0,0.0
2122,65+,female,London,30y+,high_school,working_class,0.653,1.0,2016-2020,0.0,1.0,78901,4926.0,luxury_sedan,basic,0,0,1,0.0,0.0
2123,40-64,female,North West,20-29y,high_school,middle_class,0.686,1.0,2016-2020,1.0,1.0,54321,6904.0,luxury_sedan,advanced,0,0,0,0.0,0.0
2124,40-64,male,Yorkshire,20-29y,high_school,working_class,0.354,1.0,2010-2015,1.0,1.0,78901,6647.0,family_sedan,basic,0,0,0,0.0,0.0
2125,40-64,male,London,10-19y,postgraduate,upper_class,0.852,1.0,2010-2015,1.0,1.0,45678,6334.0,luxury_sedan,basic,0,0,0,0.0,0.0
2126,40-64,male,East Midlands,10-19y,high_school,middle_class,0.382,1.0,before_2010,1.0,1.0,32765,8265.0,sports_car,advanced,0,0,0,0.0,0.0
2127,16-25,male,Scotland,0-2y,university,middle_class,0.913,1.0,2010-2015,0.0,0.0,54321,4190.0,sports_car,basic,1,0,0,1.0,468.0
2128,16-25,female,East Midlands,0-2y,high_school,poverty,0.539,1.0,after_2020,0.0,0.0,54321,7046.0,family_sedan,standard,0,0,2,1.0,758.05
2129,40-64,male,East Anglia,10-19y,high_school,working_class,0.375,1.0,after_2020,1.0,1.0,32765,7768.0,family_sedan,advanced,0,0,0,0.0,0.0
2130,26-39,female,North West,10-19y,postgraduate,working_class,0.621,1.0,before_2010,1.0,1.0,78901,3016.0,family_sedan,standard,0,0,0,0.0,0.0
2131,16-25,male,Yorkshire,0-2y,university,middle_class,0.764,0.0,2010-2015,0.0,1.0,45678,10907.0,sports_car,standard,0,0,1,1.0,1678.23
2132,16-25,male,Scotland,3-5y,postgraduate,middle_class,0.498,1.0,2010-2015,0.0,0.0,45678,4685.0,sports_car,basic,1,0,0,1.0,750.22
2133,26-39,male,North West,0-9y,high_school,middle_class,0.637,1.0,2016-2020,1.0,0.0,54321,7561.0,small_hatchback,basic,1,0,0,0.0,0.0
2134,40-64,female,North East,20-29y,high_school,working_class,0.554,1.0,after_2020,1.0,0.0,67890,8262.0,suv,standard,0,0,0,0.0,0.0
2135,26-39,male,North West,0-9y,postgraduate,working_class,0.395,1.0,after_2020,0.0,0.0,67890,2879.0,sports_car,advanced,0,0,0,0.0,0.0
2136,40-64,female,East Anglia,20-29y,high_school,working_class,0.649,0.0,2010-2015,0.0,0.0,67890,6142.0,sports_car,standard,0,0,0,0.0,0.0
2137,16-25,male,East Midlands,0-2y,postgraduate,upper_class,0.963,1.0,before_2010,1.0,1.0,67890,1290.0,family_sedan,advanced,0,0,0,1.0,1144.35
2138,40-64,male,North West,20-29y,high_school,working_class,0.325,1.0,after_2020,1.0,0.0,78901,1889.0,sports_car,basic,0,0,0,0.0,0.0
2139,16-25,male,Scotland,3-5y,high_school,middle_class,0.809,0.0,after_2020,0.0,0.0,32765,5183.0,small_hatchback,basic,0,0,1,0.0,0.0
2140,40-64,female,Wales,20-29y,university,working_class,0.587,1.0,2016-2020,0.0,0.0,45678,8188.0,small_hatchback,standard,0,0,0,0.0,0.0
2141,26-39,male,West Midlands,10-19y,postgraduate,middle_class,0.852,1.0,2016-2020,1.0,0.0,45678,4570.0,family_sedan,basic,0,1,0,0.0,0.0
2142,40-64,female,Scotland,20-29y,university,working_class,0.771,0.0,after_2020,1.0,0.0,32765,7302.0,sports_car,standard,1,0,0,0.0,0.0
2143,65+,male,East Midlands,30y+,university,upper_class,0.821,1.0,after_2020,0.0,0.0,32765,762.0,family_sedan,advanced,0,0,0,0.0,0.0
2144,16-25,female,North East,0-2y,university,working_class,0.583,1.0,2016-2020,0.0,0.0,54321,5482.0,small_hatchback,standard,2,0,1,0.0,0.0
2145,16-25,female,North East,0-2y,postgraduate,middle_class,0.549,1.0,before_2010,0.0,1.0,45678,11731.0,sports_car,standard,0,0,1,0.0,0.0
2146,16-25,male,London,0-2y,university,working_class,0.62,0.0,after_2020,0.0,0.0,10238,2555.0,sports_car,basic,0,0,1,0.0,0.0
2147,65+,female,Yorkshire,20-29y,university,upper_class,0.765,1.0,before_2010,1.0,1.0,10238,4116.0,luxury_sedan,basic,1,0,1,1.0,468.0
2148,40-64,female,East Anglia,20-29y,university,middle_class,0.832,1.0,2010-2015,1.0,1.0,32765,9929.0,suv,standard,0,0,0,0.0,0.0
2149,40-64,male,Wales,10-19y,university,middle_class,0.862,1.0,2016-2020,1.0,1.0,32765,7359.0,family_sedan,standard,0,1,0,0.0,0.0
2150,40-64,male,South East,20-29y,university,upper_class,0.779,1.0,before_2010,1.0,1.0,78901,10805.0,family_sedan,basic,2,0,1,0.0,0.0
2151,40-64,female,South West,10-19y,postgraduate,middle_class,0.865,1.0,2010-2015,1.0,0.0,67890,5245.0,luxury_sedan,standard,0,0,0,1.0,657.48
2152,40-64,male,South West,20-29y,university,upper_class,0.833,1.0,2010-2015,0.0,1.0,10238,6610.0,family_sedan,advanced,1,0,0,0.0,0.0
2153,26-39,male,North West,10-19y,university,working_class,0.375,0.0,before_2010,1.0,1.0,45678,3621.0,suv,basic,0,0,0,0.0,0.0
2154,26-39,female,South East,0-9y,university,middle_class,0.624,1.0,after_2020,0.0,0.0,45678,5344.0,family_sedan,basic,0,0,0,1.0,788.08
2155,26-39,female,East Anglia,10-19y,university,middle_class,0.722,1.0,before_2010,1.0,0.0,54321,8667.0,suv,standard,0,0,0,0.0,0.0
2156,65+,male,London,30y+,university,working_class,0.798,1.0,2010-2015,0.0,0.0,54321,3674.0,family_sedan,basic,0,0,1,0.0,0.0
2157,26-39,male,Scotland,0-9y,university,middle_class,0.726,0.0,2016-2020,1.0,0.0,54321,8153.0,small_hatchback,standard,0,0,0,0.0,0.0
2158,26-39,male,London,0-9y,none,middle_class,0.843,1.0,2016-2020,0.0,0.0,32765,9533.0,sports_car,standard,0,0,0,1.0,360.0
2159,26-39,male,London,10-19y,high_school,upper_class,0.744,1.0,2010-2015,0.0,1.0,10238,5251.0,small_hatchback,basic,0,0,1,0.0,0.0
2160,26-39,male,East Midlands,10-19y,postgraduate,middle_class,0.691,1.0,2010-2015,0.0,0.0,67890,7886.0,sports_car,advanced,0,0,0,0.0,0.0
2161,65+,male,North East,30y+,university,working_class,0.61,1.0,2016-2020,1.0,1.0,45678,2374.0,luxury_sedan,standard,0,0,0,0.0,0.0
2162,40-64,female,Scotland,20-29y,university,middle_class,0.786,1.0,2016-2020,0.0,0.0,32765,2990.0,sports_car,basic,3,0,0,0.0,0.0
2163,26-39,female,Wales,10-19y,postgraduate,working_class,0.651,0.0,2010-2015,0.0,0.0,67890,1416.0,small_hatchback,advanced,1,0,0,0.0,0.0
2164,40-64,female,Yorkshire,20-29y,university,middle_class,0.667,0.0,2010-2015,1.0,1.0,45678,9725.0,suv,standard,0,0,0,0.0,0.0
2165,40-64,male,South East,10-19y,high_school,middle_class,0.91,1.0,after_2020,1.0,1.0,54321,7194.0,suv,advanced,0,1,0,0.0,0.0
2166,40-64,male,East Midlands,20-29y,university,working_class,0.478,1.0,2010-2015,1.0,1.0,10238,7037.0,family_sedan,basic,0,0,0,0.0,0.0
2167,26-39,male,East Anglia,10-19y,high_school,middle_class,0.813,1.0,2016-2020,0.0,0.0,67890,9626.0,family_sedan,standard,0,0,0,0.0,0.0
2168,16-25,female,Wales,0-2y,high_school,middle_class,0.707,0.0,2010-2015,0.0,1.0,45678,1804.0,sports_car,standard,0,0,2,0.0,0.0
2169,26-39,female,Wales,0-9y,high_school,poverty,0.346,1.0,before_2010,0.0,0.0,67890,6597.0,sports_car,standard,1,0,1,0.0,0.0
2170,16-25,female,London,0-2y,high_school,middle_class,0.805,1.0,after_2020,0.0,0.0,32765,2987.0,family_sedan,advanced,0,0,0,0.0,0.0
2171,65+,male,Wales,30y+,postgraduate,upper_class,0.91,0.0,2016-2020,0.0,0.0,67890,6859.0,suv,standard,0,0,0,0.0,0.0
2172,26-39,female,South East,10-19y,university,working_class,0.573,1.0,before_2010,1.0,1.0,78901,4445.0,suv,advanced,0,0,0,0.0,0.0
2173,26-39,female,North East,0-9y,university,middle_class,0.542,1.0,2010-2015,1.0,1.0,45678,6801.0,suv,standard,0,0,0,0.0,0.0
2174,40-64,male,East Anglia,10-19y,high_school,middle_class,0.681,1.0,2010-2015,1.0,0.0,67890,4010.0,luxury_sedan,basic,0,0,1,0.0,0.0
2175,26-39,female,North West,10-19y,university,middle_class,0.617,1.0,before_2010,0.0,0.0,10238,7633.0,family_sedan,standard,0,0,0,0.0,0.0
2176,40-64,female,Wales,20-29y,postgraduate,upper_class,0.902,1.0,2010-2015,1.0,1.0,45678,8060.0,family_sedan,advanced,1,0,0,0.0,0.0
2177,40-64,male,South East,10-19y,university,working_class,0.559,1.0,before_2010,1.0,1.0,10238,7619.0,luxury_sedan,standard,0,0,0,0.0,0.0
2178,26-39,male,East Anglia,10-19y,none,working_class,0.66,1.0,2010-2015,0.0,0.0,67890,10194.0,suv,basic,0,0,0,0.0,0.0
2179,40-64,female,London,10-19y,university,upper_class,0.792,1.0,before_2010,1.0,0.0,32765,6775.0,family_sedan,standard,1,0,0,0.0,0.0
2180,26-39,female,West Midlands,0-9y,high_school,working_class,0.537,1.0,after_2020,0.0,1.0,67890,6216.0,family_sedan,basic,0,0,0,0.0,0.0
2181,40-64,male,South East,10-19y,high_school,middle_class,0.586,1.0,2016-2020,0.0,0.0,10238,12015.0,suv,standard,0,0,0,0.0,0.0
2182,26-39,female,Scotland,0-9y,university,working_class,0.722,1.0,2016-2020,0.0,0.0,32765,7287.0,small_hatchback,basic,0,0,0,0.0,0.0
2183,40-64,male,Wales,10-19y,university,working_class,0.296,0.0,before_2010,1.0,1.0,10238,7306.0,sports_car,standard,1,0,0,0.0,0.0
2184,26-39,male,West Midlands,10-19y,high_school,middle_class,0.536,1.0,2010-2015,1.0,1.0,78901,4028.0,small_hatchback,basic,0,0,1,0.0,0.0
2185,26-39,female,South West,0-9y,university,middle_class,0.726,1.0,after_2020,1.0,1.0,78901,6386.0,small_hatchback,basic,0,0,0,0.0,0.0
2186,16-25,female,Wales,0-2y,university,poverty,0.303,1.0,2016-2020,0.0,1.0,32765,2886.0,family_sedan,advanced,0,1,0,0.0,0.0
2187,16-25,female,West Midlands,3-5y,high_school,working_class,0.431,1.0,before_2010,0.0,1.0,78901,4855.0,small_hatchback,advanced,0,0,0,1.0,1355.66
2188,40-64,male,East Anglia,20-29y,university,working_class,0.577,1.0,after_2020,1.0,1.0,54321,6148.0,family_sedan,basic,0,0,0,0.0,0.0
2189,40-64,female,Yorkshire,20-29y,university,working_class,0.335,1.0,2010-2015,1.0,0.0,67890,9531.0,luxury_sedan,basic,0,0,0,0.0,0.0
2190,65+,female,West Midlands,30y+,high_school,working_class,0.342,1.0,2016-2020,1.0,0.0,54321,5211.0,luxury_sedan,advanced,1,0,0,1.0,2913.83
2191,26-39,female,Scotland,10-19y,university,working_class,0.461,1.0,2010-2015,0.0,0.0,67890,4200.0,small_hatchback,standard,1,0,0,0.0,0.0
2192,65+,male,South West,30y+,university,upper_class,0.783,1.0,2010-2015,1.0,1.0,54321,5370.0,family_sedan,basic,0,0,0,0.0,0.0
2193,40-64,female,North West,20-29y,university,middle_class,0.851,1.0,2010-2015,1.0,1.0,67890,4936.0,luxury_sedan,standard,0,0,0,0.0,0.0
2194,40-64,male,Scotland,20-29y,university,working_class,0.181,1.0,2016-2020,1.0,0.0,54321,7697.0,family_sedan,basic,0,0,0,0.0,0.0
2195,16-25,female,North West,0-2y,university,upper_class,0.73,0.0,2010-2015,0.0,1.0,32765,4793.0,small_hatchback,standard,0,0,1,1.0,753.23
2196,65+,male,East Midlands,30y+,university,upper_class,0.633,1.0,2010-2015,0.0,0.0,10238,4050.0,suv,standard,1,0,0,0.0,0.0
2197,16-25,female,Yorkshire,3-5y,university,middle_class,0.865,1.0,after_2020,0.0,1.0,67890,4581.0,family_sedan,basic,1,0,0,0.0,0.0
2198,40-64,female,East Anglia,10-19y,university,working_class,0.43,1.0,2016-2020,1.0,0.0,67890,2672.0,family_sedan,standard,0,0,1,0.0,0.0
2199,16-25,female,South West,3-5y,university,middle_class,0.366,1.0,before_2010,0.0,1.0,54321,7352.0,sports_car,advanced,1,0,0,0.0,0.0
2200,26-39,male,East Anglia,0-9y,high_school,middle_class,0.77,1.0,2016-2020,0.0,1.0,78901,12094.0,suv,basic,0,0,0,0.0,0.0
2201,40-64,male,South East,20-29y,high_school,upper_class,0.768,1.0,2016-2020,1.0,1.0,78901,6282.0,suv,standard,0,0,0,0.0,0.0
2202,16-25,female,East Anglia,0-2y,university,poverty,0.502,1.0,2016-2020,0.0,0.0,45678,5458.0,small_hatchback,standard,0,0,0,0.0,0.0
2203,16-25,male,London,0-2y,postgraduate,upper_class,0.823,1.0,before_2010,0.0,1.0,10238,7000.0,small_hatchback,standard,1,0,0,0.0,0.0
2204,26-39,male,South West,0-9y,high_school,working_class,0.611,1.0,2016-2020,0.0,0.0,78901,8241.0,family_sedan,standard,0,0,0,0.0,0.0
2205,26-39,male,Wales,10-19y,none,working_class,0.573,1.0,2010-2015,0.0,0.0,78901,10720.0,family_sedan,advanced,1,0,1,0.0,0.0
2206,65+,female,North East,30y+,postgraduate,middle_class,0.36,1.0,after_2020,1.0,1.0,78901,2536.0,family_sedan,standard,0,0,0,0.0,0.0
2207,16-25,female,South East,3-5y,high_school,middle_class,0.579,1.0,after_2020,0.0,0.0,54321,8638.0,small_hatchback,advanced,0,0,0,0.0,0.0
2208,40-64,female,South West,20-29y,high_school,upper_class,0.784,1.0,2010-2015,1.0,1.0,67890,5350.0,small_hatchback,standard,0,0,0,0.0,0.0
2209,40-64,male,Yorkshire,10-19y,university,middle_class,0.862,1.0,2010-2015,0.0,0.0,10238,7392.0,luxury_sedan,standard,1,0,1,0.0,0.0
2210,26-39,female,East Anglia,0-9y,university,poverty,0.349,1.0,after_2020,1.0,0.0,10238,6839.0,suv,basic,0,0,0,0.0,0.0
2211,26-39,male,Wales,0-9y,high_school,upper_class,0.968,1.0,2016-2020,1.0,1.0,54321,9275.0,suv,standard,1,0,0,0.0,0.0
2212,26-39,male,East Anglia,10-19y,high_school,middle_class,0.563,1.0,2010-2015,1.0,1.0,45678,7970.0,luxury_sedan,standard,0,0,0,0.0,0.0
2213,65+,female,Scotland,30y+,university,middle_class,0.667,0.0,2016-2020,1.0,1.0,10238,5573.0,luxury_sedan,standard,0,0,0,0.0,0.0
2214,26-39,male,South East,10-19y,high_school,working_class,0.613,1.0,after_2020,1.0,1.0,10238,9420.0,suv,standard,0,0,0,0.0,0.0
2215,65+,male,East Midlands,30y+,university,middle_class,0.775,1.0,2010-2015,1.0,0.0,10238,2635.0,mpv,basic,0,0,1,0.0,0.0
2216,65+,male,East Midlands,30y+,university,middle_class,0.727,1.0,2016-2020,0.0,0.0,54321,5315.0,luxury_sedan,standard,0,0,0,0.0,0.0
2217,40-64,male,North East,20-29y,university,middle_class,0.715,1.0,2016-2020,1.0,1.0,54321,13626.0,family_sedan,advanced,0,0,0,0.0,0.0
2218,40-64,female,London,20-29y,university,working_class,0.485,1.0,2016-2020,1.0,1.0,78901,763.0,small_hatchback,standard,3,0,0,0.0,0.0
2219,16-25,female,North East,3-5y,high_school,middle_class,0.475,1.0,2010-2015,0.0,0.0,67890,3870.0,sports_car,advanced,1,0,0,0.0,0.0
2220,26-39,male,North West,10-19y,high_school,middle_class,0.472,1.0,after_2020,0.0,1.0,78901,5897.0,sports_car,standard,0,0,0,0.0,0.0
2221,26-39,female,Yorkshire,10-19y,postgraduate,middle_class,0.741,0.0,after_2020,0.0,1.0,78901,9645.0,family_sedan,standard,0,0,0,0.0,0.0
2222,40-64,male,East Midlands,20-29y,university,upper_class,0.974,1.0,2016-2020,0.0,0.0,67890,8951.0,small_hatchback,advanced,0,0,0,0.0,0.0
2223,26-39,male,Wales,10-19y,university,working_class,0.356,1.0,before_2010,0.0,0.0,67890,7375.0,sports_car,standard,0,0,0,0.0,0.0
2224,40-64,male,Scotland,20-29y,university,upper_class,0.777,1.0,before_2010,0.0,1.0,32765,8127.0,family_sedan,basic,0,0,0,0.0,0.0
2225,40-64,male,East Midlands,20-29y,high_school,working_class,0.539,0.0,before_2010,0.0,0.0,67890,7750.0,suv,advanced,0,0,0,0.0,0.0
2226,26-39,female,South East,10-19y,postgraduate,middle_class,0.658,0.0,before_2010,1.0,0.0,45678,7832.0,suv,standard,0,1,0,1.0,435.41
2227,26-39,male,South West,10-19y,high_school,middle_class,0.688,1.0,before_2010,0.0,0.0,45678,7254.0,small_hatchback,standard,0,0,0,0.0,0.0
2228,26-39,female,South East,10-19y,high_school,middle_class,0.779,1.0,after_2020,1.0,1.0,10238,7234.0,family_sedan,standard,0,0,0,1.0,605.52
2229,40-64,female,London,20-29y,university,upper_class,0.77,1.0,2010-2015,1.0,1.0,78901,7951.0,family_sedan,standard,0,0,0,0.0,0.0
2230,26-39,female,East Anglia,10-19y,high_school,upper_class,0.788,1.0,after_2020,0.0,0.0,54321,3792.0,suv,standard,0,0,0,0.0,0.0
2231,16-25,male,North West,3-5y,postgraduate,middle_class,0.826,1.0,2016-2020,0.0,0.0,54321,3600.0,luxury_sedan,standard,4,0,2,0.0,0.0
2232,40-64,male,London,20-29y,university,middle_class,0.573,1.0,2016-2020,0.0,1.0,45678,2320.0,family_sedan,advanced,1,1,0,0.0,0.0
2233,26-39,male,South West,10-19y,university,middle_class,0.761,1.0,after_2020,1.0,0.0,54321,8478.0,family_sedan,standard,0,0,0,0.0,0.0
2234,16-25,male,East Anglia,0-2y,postgraduate,middle_class,0.687,0.0,before_2010,0.0,0.0,67890,4641.0,sports_car,advanced,0,0,2,0.0,0.0
2235,40-64,female,South East,20-29y,university,working_class,0.47,1.0,after_2020,0.0,0.0,67890,6423.0,sports_car,basic,0,0,1,0.0,0.0
2236,16-25,male,North East,3-5y,high_school,middle_class,0.873,0.0,after_2020,0.0,0.0,32765,6997.0,small_hatchback,basic,1,0,0,1.0,1950.0
2237,65+,female,North East,30y+,high_school,working_class,0.428,1.0,2016-2020,0.0,0.0,67890,500.0,family_sedan,standard,1,0,0,0.0,0.0
2238,26-39,female,Wales,10-19y,high_school,working_class,0.305,1.0,before_2010,0.0,0.0,45678,7941.0,luxury_sedan,advanced,1,0,0,0.0,0.0
2239,40-64,male,North East,10-19y,high_school,working_class,0.217,1.0,2016-2020,1.0,0.0,54321,6354.0,luxury_sedan,standard,0,0,0,0.0,0.0
2240,40-64,female,North West,10-19y,university,working_class,0.515,1.0,2010-2015,0.0,0.0,10238,6340.0,sports_car,advanced,1,0,0,0.0,0.0
2241,40-64,male,West Midlands,20-29y,university,middle_class,0.691,1.0,after_2020,1.0,0.0,10238,5841.0,small_hatchback,standard,0,0,0,0.0,0.0
2242,16-25,male,Wales,0-2y,high_school,middle_class,0.692,1.0,2010-2015,0.0,0.0,67890,9578.0,suv,standard,2,0,3,0.0,0.0
2243,26-39,female,Yorkshire,10-19y,postgraduate,working_class,0.87,1.0,2016-2020,0.0,0.0,32765,5008.0,small_hatchback,standard,0,0,0,1.0,300.0
2244,40-64,female,London,20-29y,high_school,middle_class,0.401,1.0,after_2020,1.0,1.0,32765,9417.0,suv,basic,0,0,0,0.0,0.0
2245,26-39,female,East Midlands,10-19y,postgraduate,working_class,0.846,1.0,after_2020,0.0,0.0,54321,7501.0,sports_car,standard,0,0,0,0.0,0.0
2246,40-64,male,East Midlands,20-29y,university,middle_class,0.681,1.0,2010-2015,0.0,1.0,54321,2999.0,family_sedan,standard,0,0,0,1.0,2780.03
2247,26-39,female,London,0-9y,high_school,working_class,0.723,1.0,2010-2015,1.0,1.0,45678,6311.0,small_hatchback,standard,0,0,0,0.0,0.0
