date,region,weather_condition,traffic_baseline,visibility_meters
2025-10-15,South East,Clear,Heavy,10000
2025-10-16,South East,Storm,Gridlock,3918
2025-10-17,South East,Rain,Moderate,4358
2025-10-18,South East,Rain,Moderate,3728
2025-10-19,South East,Rain,Light,510
2025-10-20,South East,Rain,Heavy,1426
2025-10-21,South East,Rain,Heavy,2116
2025-10-22,South East,Clear,Moderate,10000
2025-10-23,South East,Rain,Gridlock,3350
2025-10-24,South East,Clear,Heavy,10000
2025-10-25,South East,Clear,Light,10000
2025-10-26,South East,Rain,Heavy,1905
2025-10-27,South East,Fog,Heavy,3131
2025-10-28,South East,Rain,Gridlock,972
2025-10-29,South East,Rain,Heavy,2597
2025-10-30,South East,Rain,Gridlock,363
2025-10-31,South East,Clear,Heavy,10000
2025-11-01,South East,Clear,Heavy,10000
2025-11-02,South East,Clear,Light,10000
2025-11-03,South East,Clear,Heavy,10000
2025-11-04,South East,Fog,Gridlock,2229
2025-11-05,South East,Clear,Heavy,10000
2025-11-06,South East,Rain,Heavy,1878
2025-11-07,South East,Rain,Moderate,2502
2025-11-08,South East,Clear,Light,10000
2025-11-09,South East,Clear,Light,10000
2025-11-10,South East,Rain,Gridlock,3342
2025-11-11,South East,Rain,Moderate,4481
2025-11-12,South East,Clear,Heavy,10000
2025-11-13,South East,Clear,Heavy,10000
2025-11-14,South East,Rain,Heavy,3309
2025-11-15,South East,Fog,Light,4551
2025-11-16,South East,Rain,Moderate,3024
2025-11-17,South East,Fog,Heavy,4885
2025-11-18,South East,Clear,Heavy,10000
2025-11-19,South East,Clear,Heavy,10000
2025-11-20,South East,Clear,Gridlock,10000
2025-11-21,South East,Rain,Heavy,1886
2025-11-22,South East,Clear,Moderate,10000
2025-11-23,South East,Rain,Light,448
2025-11-24,South East,Rain,Gridlock,124
2025-11-25,South East,Rain,Gridlock,886
2025-11-26,South East,Clear,Heavy,10000
2025-11-27,South East,Clear,Moderate,10000
2025-11-28,South East,Clear,Gridlock,10000
2025-11-29,South East,Clear,Moderate,10000
2025-11-30,South East,Clear,Heavy,10000
2025-12-01,South East,Rain,Heavy,4726
2025-12-02,South East,Fog,Moderate,2146
2025-12-03,South East,Rain,Gridlock,2453
2025-12-04,South East,Clear,Moderate,10000
2025-12-05,South East,Rain,Heavy,4786
2025-12-06,South East,Fog,Light,2906
2025-12-07,South East,Clear,Moderate,10000
2025-12-08,South East,Clear,Heavy,10000
2025-12-09,South East,Rain,Gridlock,1481
2025-12-10,South East,Clear,Heavy,10000
2025-12-11,South East,Rain,Heavy,3341
2025-12-12,South East,Fog,Gridlock,3521
2025-12-13,South East,Fog,Light,254
2025-12-14,South East,Rain,Light,1769
2025-12-15,South East,Clear,Heavy,10000
2025-12-16,South East,Rain,Heavy,739
2025-12-17,South East,Rain,Heavy,1472
2025-12-18,South East,Clear,Heavy,10000
2025-12-19,South East,Snow,Heavy,1499
2025-12-20,South East,Fog,Moderate,4310
2025-12-21,South East,Storm,Light,3720
2025-12-22,South East,Clear,Heavy,10000
2025-12-23,South East,Rain,Gridlock,4529
2025-12-24,South East,Snow,Moderate,4774
2025-12-25,South East,Clear,Heavy,10000
2025-12-26,South East,Fog,Heavy,4738
2025-12-27,South East,Storm,Light,2140
2025-12-28,South East,Clear,Moderate,10000
2025-12-29,South East,Rain,Moderate,4343
2025-12-30,South East,Fog,Heavy,3638
2025-12-31,South East,Fog,Gridlock,3187
2025-01-01,South West,Clear,Gridlock,10000
2025-01-02,South West,Rain,Heavy,4733
2025-01-03,South West,Clear,Heavy,10000
2025-01-04,South West,Fog,Light,1777
2025-01-05,South West,Fog,Light,2129
2025-01-06,South West,Rain,Moderate,1141
2025-01-07,South West,Fog,Heavy,2841
2025-01-08,South West,Fog,Gridlock,831
2025-01-09,South West,Clear,Heavy,10000
2025-01-10,South West,Storm,Heavy,4592
2025-01-11,South West,Rain,Light,4020
2025-01-12,South West,Fog,Moderate,1061
2025-01-13,South West,Fog,Heavy,1864
2025-01-14,South West,Fog,Heavy,4452
2025-01-15,South West,Clear,Moderate,10000
2025-01-16,South West,Clear,Heavy,10000
2025-01-17,South West,Fog,Heavy,4704
2025-01-18,South West,Clear,Moderate,10000
2025-01-19,South West,Rain,Light,3575
2025-01-20,South West,Fog,Heavy,2974
2025-01-21,South West,Fog,Heavy,4185
2025-01-22,South West,Rain,Heavy,662
2025-01-23,South West,Rain,Gridlock,662
2025-01-24,South West,Rain,Heavy,1831
2025-01-25,South West,Fog,Light,4008
2025-01-26,South West,Snow,Light,1960
2025-01-27,South West,Clear,Heavy,10000
2025-01-28,South West,Rain,Gridlock,1579
2025-01-29,South West,Rain,Moderate,1610
2025-01-30,South West,Clear,Moderate,10000
2025-01-31,South West,Fog,Heavy,3119
2025-02-01,South West,Rain,Light,314
2025-02-02,South West,Fog,Moderate,3040
2025-02-03,South West,Rain,Heavy,1204
2025-02-04,South West,Fog,Heavy,4129
2025-02-05,South West,Rain,Gridlock,239
2025-02-06,South West,Rain,Heavy,2643
2025-02-07,South West,Rain,Heavy,1148
2025-02-08,South West,Rain,Moderate,1724
2025-02-09,South West,Fog,Light,4434
2025-02-10,South West,Clear,Heavy,10000
2025-02-11,South West,Rain,Heavy,205
2025-02-12,South West,Rain,Moderate,4269
2025-02-13,South West,Storm,Moderate,689
2025-02-14,South West,Rain,Heavy,4678
2025-02-15,South West,Clear,Light,10000
2025-02-16,South West,Rain,Heavy,509
2025-02-17,South West,Clear,Gridlock,10000
2025-02-18,South West,Clear,Gridlock,10000
2025-02-19,South West,Rain,Gridlock,2504
2025-02-20,South West,Clear,Heavy,10000
2025-02-21,South West,Rain,Heavy,4646
2025-02-22,South West,Rain,Light,3967
2025-02-23,South West,Rain,Light,473
2025-02-24,South West,Rain,Gridlock,1800
2025-02-25,South West,Clear,Heavy,10000
2025-02-26,South West,Snow,Gridlock,2381
2025-02-27,South West,Clear,Gridlock,10000
2025-02-28,South West,Rain,Heavy,4778
2025-03-01,South West,Clear,Moderate,10000
2025-03-02,South West,Clear,Moderate,10000
2025-03-03,South West,Rain,Moderate,335
2025-03-04,South West,Clear,Heavy,10000
2025-03-05,South West,Clear,Gridlock,10000
2025-03-06,South West,Clear,Heavy,10000
2025-03-07,South West,Rain,Heavy,117
2025-03-08,South West,Fog,Moderate,4058
2025-03-09,South West,Storm,Moderate,2574
2025-03-10,South West,Fog,Heavy,2365
2025-03-11,South West,Rain,Gridlock,1635
2025-03-12,South West,Rain,Heavy,1349
2025-03-13,South West,Clear,Heavy,10000
2025-03-14,South West,Rain,Heavy,1108
2025-03-15,South West,Fog,Moderate,3186
2025-03-16,South West,Clear,Moderate,10000
2025-03-17,South West,Clear,Gridlock,10000
2025-03-18,South West,Rain,Moderate,4804
2025-03-19,South West,Fog,Heavy,1623
2025-03-20,South West,Rain,Heavy,4277
2025-03-21,South West,Rain,Moderate,821
2025-03-22,South West,Clear,Light,10000
2025-03-23,South West,Rain,Heavy,1235
2025-03-24,South West,Rain,Gridlock,1160
2025-03-25,South West,Rain,Gridlock,3843
2025-03-26,South West,Clear,Heavy,10000
2025-03-27,South West,Clear,Moderate,10000
2025-03-28,South West,Clear,Gridlock,10000
2025-03-29,South West,Clear,Light,10000
2025-03-30,South West,Clear,Moderate,10000
2025-03-31,South West,Clear,Heavy,10000
2025-04-01,South West,Rain,Moderate,1375
2025-04-02,South West,Clear,Gridlock,10000
2025-04-03,South West,Fog,Heavy,390
2025-04-04,South West,Rain,Heavy,2479
2025-04-05,South West,Clear,Moderate,10000
2025-04-06,South West,Clear,Moderate,10000
2025-04-07,South West,Rain,Gridlock,232
2025-04-08,South West,Fog,Heavy,1567
2025-04-09,South West,Storm,Moderate,3679
2025-04-10,South West,Clear,Heavy,10000
2025-04-11,South West,Rain,Gridlock,3054
2025-04-12,South West,Rain,Moderate,3361
2025-04-13,South West,Clear,Moderate,10000
2025-04-14,South West,Storm,Heavy,223
2025-04-15,South West,Clear,Heavy,10000
2025-04-16,South West,Clear,Heavy,10000
2025-04-17,South West,Rain,Moderate,1039
2025-04-18,South West,Fog,Heavy,1824
2025-04-19,South West,Rain,Moderate,3858
2025-04-20,South West,Rain,Light,4056
2025-04-21,South West,Rain,Heavy,251
2025-04-22,South West,Clear,Heavy,10000
2025-04-23,South West,Clear,Heavy,10000
2025-04-24,South West,Storm,Heavy,820
2025-04-25,South West,Rain,Moderate,3635
2025-04-26,South West,Rain,Moderate,3471
2025-04-27,South West,Clear,Light,10000
2025-04-28,South West,Rain,Heavy,1906
2025-04-29,South West,Clear,Heavy,10000
2025-04-30,South West,Storm,Gridlock,1200
2025-05-01,South West,Clear,Heavy,10000
2025-05-02,South West,Rain,Gridlock,1180
2025-05-03,South West,Rain,Moderate,424
2025-05-04,South West,Rain,Moderate,3309
2025-05-05,South West,Clear,Heavy,10000
2025-05-06,South West,Rain,Heavy,3184
2025-05-07,South West,Clear,Gridlock,10000
2025-05-08,South West,Clear,Heavy,10000
2025-05-09,South West,Clear,Heavy,10000
2025-05-10,South West,Rain,Moderate,3030
2025-05-11,South West,Rain,Light,4978
2025-05-12,South West,Clear,Moderate,10000
2025-05-13,South West,Clear,Heavy,10000
2025-05-14,South West,Rain,Heavy,3596
2025-05-15,South West,Rain,Heavy,1879
2025-05-16,South West,Fog,Heavy,3809
2025-05-17,South West,Clear,Heavy,10000
2025-05-18,South West,Rain,Moderate,1950
2025-05-19,South West,Storm,Heavy,3465
2025-05-20,South West,Rain,Gridlock,1228
2025-05-21,South West,Clear,Gridlock,10000
2025-05-22,South West,Rain,Heavy,2359
2025-05-23,South West,Rain,Heavy,4687
2025-05-24,South West,Clear,Moderate,10000
2025-05-25,South West,Clear,Light,10000
2025-05-26,South West,Rain,Heavy,835
2025-05-27,South West,Fog,Gridlock,4222
2025-05-28,South West,Rain,Moderate,1986
2025-05-29,South West,Clear,Heavy,10000
2025-05-30,South West,Rain,Moderate,2402
2025-05-31,South West,Rain,Light,4966
2025-06-01,South West,Rain,Light,1427
2025-06-02,South West,Clear,Moderate,10000
2025-06-03,South West,Clear,Heavy,10000
2025-06-04,South West,Clear,Gridlock,10000
2025-06-05,South West,Clear,Heavy,10000
2025-06-06,South West,Clear,Moderate,10000
2025-06-07,South West,Clear,Moderate,10000
2025-06-08,South West,Clear,Light,10000
2025-06-09,South West,Storm,Gridlock,2201
2025-06-10,South West,Clear,Heavy,10000
2025-06-11,South West,Clear,Heavy,10000
2025-06-12,South West,Clear,Gridlock,10000
2025-06-13,South West,Rain,Gridlock,2096
2025-06-14,South West,Storm,Heavy,316
2025-06-15,South West,Clear,Light,10000
2025-06-16,South West,Clear,Heavy,10000
2025-06-17,South West,Clear,Moderate,10000
2025-06-18,South West,Clear,Heavy,10000
2025-06-19,South West,Clear,Gridlock,10000
2025-06-20,South West,Fog,Heavy,2717
2025-06-21,South West,Clear,Moderate,10000
2025-06-22,South West,Clear,Light,10000
2025-06-23,South West,Clear,Heavy,10000
2025-06-24,South West,Rain,Heavy,4860
2025-06-25,South West,Fog,Heavy,3586
2025-06-26,South West,Rain,Gridlock,4227
2025-06-27,South West,Clear,Heavy,10000
2025-06-28,South West,Clear,Moderate,10000
2025-06-29,South West,Clear,Heavy,10000
2025-06-30,South West,Clear,Moderate,10000
2025-07-01,South West,Clear,Heavy,10000
2025-07-02,South West,Clear,Heavy,10000
2025-07-03,South West,Clear,Moderate,10000
2025-07-04,South West,Storm,Heavy,2817
2025-07-05,South West,Rain,Heavy,4828
2025-07-06,South West,Rain,Moderate,2417
2025-07-07,South West,Clear,Heavy,10000
2025-07-08,South West,Rain,Heavy,745
2025-07-09,South West,Clear,Heavy,10000
2025-07-10,South West,Storm,Heavy,2891
2025-07-11,South West,Rain,Heavy,2744
2025-07-12,South West,Clear,Light,10000
2025-07-13,South West,Clear,Light,10000
2025-07-14,South West,Clear,Gridlock,10000
2025-07-15,South West,Rain,Gridlock,306
2025-07-16,South West,Rain,Heavy,3225
2025-07-17,South West,Clear,Heavy,10000
2025-07-18,South West,Clear,Heavy,10000
2025-07-19,South West,Clear,Light,10000
2025-07-20,South West,Clear,Moderate,10000
2025-07-21,South West,Clear,Heavy,10000
2025-07-22,South West,Clear,Moderate,10000
2025-07-23,South West,Rain,Heavy,2472
2025-07-24,South West,Rain,Heavy,4595
2025-07-25,South West,Rain,Heavy,2605
2025-07-26,South West,Rain,Light,1288
2025-07-27,South West,Fog,Light,1100
2025-07-28,South West,Clear,Heavy,10000
2025-07-29,South West,Rain,Heavy,486
2025-07-30,South West,Clear,Heavy,10000
2025-07-31,South West,Clear,Heavy,10000
2025-08-01,South West,Clear,Heavy,10000
2025-08-02,South West,Rain,Light,1639
2025-08-03,South West,Clear,Moderate,10000
2025-08-04,South West,Clear,Heavy,10000
2025-08-05,South West,Rain,Gridlock,2357
2025-08-06,South West,Clear,Heavy,10000
2025-08-07,South West,Clear,Heavy,10000
2025-08-08,South West,Clear,Moderate,10000
2025-08-09,South West,Clear,Light,10000
2025-08-10,South West,Rain,Light,1314
2025-08-11,South West,Clear,Moderate,10000
2025-08-12,South West,Clear,Heavy,10000
2025-08-13,South West,Clear,Gridlock,10000
2025-08-14,South West,Clear,Heavy,10000
2025-08-15,South West,Rain,Heavy,4778
2025-08-16,South West,Clear,Light,10000
2025-08-17,South West,Rain,Light,868
2025-08-18,South West,Clear,Gridlock,10000
2025-08-19,South West,Clear,Gridlock,10000
2025-08-20,South West,Clear,Heavy,10000
2025-08-21,South West,Clear,Heavy,10000
2025-08-22,South West,Clear,Heavy,10000
2025-08-23,South West,Clear,Light,10000
2025-08-24,South West,Rain,Moderate,978
2025-08-25,South West,Clear,Moderate,10000
2025-08-26,South West,Clear,Gridlock,10000
2025-08-27,South West,Clear,Heavy,10000
2025-08-28,South West,Clear,Gridlock,10000
2025-08-29,South West,Clear,Heavy,10000
2025-08-30,South West,Clear,Moderate,10000
2025-08-31,South West,Clear,Light,10000
2025-09-01,South West,Rain,Heavy,941
2025-09-02,South West,Fog,Moderate,2838
2025-09-03,South West,Fog,Gridlock,4794
2025-09-04,South West,Rain,Heavy,2055
2025-09-05,South West,Clear,Heavy,10000
2025-09-06,South West,Rain,Light,1801
2025-09-07,South West,Storm,Light,989
2025-09-08,South West,Clear,Heavy,10000
2025-09-09,South West,Clear,Gridlock,10000
2025-09-10,South West,Clear,Heavy,10000
2025-09-11,South West,Clear,Moderate,10000
2025-09-12,South West,Rain,Heavy,2150
2025-09-13,South West,Rain,Light,3223
2025-09-14,South West,Clear,Light,10000
2025-09-15,South West,Clear,Heavy,10000
2025-09-16,South West,Rain,Heavy,2114
2025-09-17,South West,Storm,Heavy,4686
2025-09-18,South West,Rain,Gridlock,3309
2025-09-19,South West,Clear,Heavy,10000
2025-09-20,South West,Rain,Light,2562
2025-09-21,South West,Rain,Heavy,3916
2025-09-22,South West,Rain,Moderate,2272
2025-09-23,South West,Fog,Moderate,3512
2025-09-24,South West,Clear,Heavy,10000
2025-09-25,South West,Rain,Heavy,2853
2025-09-26,South West,Rain,Heavy,769
2025-09-27,South West,Clear,Moderate,10000
2025-09-28,South West,Storm,Moderate,4602
2025-09-29,South West,Rain,Gridlock,3080
2025-09-30,South West,Rain,Heavy,3335
2025-10-01,South West,Clear,Gridlock,10000
2025-10-02,South West,Rain,Gridlock,3326
2025-10-03,South West,Rain,Heavy,1291
2025-10-04,South West,Rain,Heavy,680
2025-10-05,South West,Rain,Heavy,4579
2025-10-06,South West,Rain,Heavy,327
2025-10-07,South West,Clear,Heavy,10000
2025-10-08,South West,Clear,Moderate,10000
2025-10-09,South West,Rain,Heavy,510
2025-10-10,South West,Fog,Heavy,3533
2025-10-11,South West,Rain,Moderate,3223
2025-10-12,South West,Clear,Light,10000
2025-10-13,South West,Fog,Heavy,3363
2025-10-14,South West,Rain,Gridlock,2345
2025-10-15,South West,Clear,Gridlock,10000
2025-10-16,South West,Rain,Heavy,3694
2025-10-17,South West,Storm,Gridlock,3695
2025-10-18,South West,Fog,Light,2399
2025-10-19,South West,Rain,Light,1166
2025-10-20,South West,Rain,Gridlock,669
2025-10-21,South West,Fog,Gridlock,2430
2025-10-22,South West,Rain,Heavy,3613
2025-10-23,South West,Storm,Moderate,1940
2025-10-24,South West,Rain,Heavy,2543
2025-10-25,South West,Rain,Light,919
2025-10-26,South West,Rain,Heavy,1333
2025-10-27,South West,Fog,Heavy,3475
2025-10-28,South West,Rain,Heavy,2945
2025-10-29,South West,Storm,Heavy,3262
2025-10-30,South West,Fog,Heavy,2069
2025-10-31,South West,Clear,Heavy,10000
2025-11-01,South West,Rain,Light,3721
2025-11-02,South West,Rain,Moderate,3165
2025-11-03,South West,Clear,Moderate,10000
2025-11-04,South West,Clear,Gridlock,10000
2025-11-05,South West,Clear,Heavy,10000
2025-11-06,South West,Clear,Heavy,10000
2025-11-07,South West,Fog,Heavy,2887
2025-11-08,South West,Rain,Light,3997
2025-11-09,South West,Rain,Light,1511
2025-11-10,South West,Clear,Gridlock,10000
2025-11-11,South West,Storm,Moderate,2702
2025-11-12,South West,Rain,Heavy,2501
2025-11-13,South West,Rain,Gridlock,3746
2025-11-14,South West,Rain,Heavy,4419
2025-11-15,South West,Storm,Light,742
2025-11-16,South West,Clear,Moderate,10000
2025-11-17,South West,Clear,Moderate,10000
2025-11-18,South West,Storm,Moderate,4460
2025-11-19,South West,Clear,Moderate,10000
2025-11-20,South West,Clear,Moderate,10000
2025-11-21,South West,Fog,Heavy,2830
2025-11-22,South West,Rain,Moderate,2921
2025-11-23,South West,Rain,Moderate,2379
2025-11-24,South West,Fog,Moderate,2088
2025-11-25,South West,Storm,Gridlock,4550
2025-11-26,South West,Rain,Gridlock,133
2025-11-27,South West,Rain,Heavy,4366
2025-11-28,South West,Clear,Heavy,10000
2025-11-29,South West,Rain,Light,3615
2025-11-30,South West,Clear,Light,10000
2025-12-01,South West,Fog,Heavy,1440
2025-12-02,South West,Fog,Gridlock,3657
2025-12-03,South West,Rain,Gridlock,339
2025-12-04,South West,Fog,Heavy,328
2025-12-05,South West,Fog,Heavy,4326
2025-12-06,South West,Fog,Light,3882
2025-12-07,South West,Clear,Light,10000
2025-12-08,South West,Rain,Heavy,3206
2025-12-09,South West,Rain,Heavy,391
2025-12-10,South West,Rain,Gridlock,3159
2025-12-11,South West,Rain,Heavy,3290
2025-12-12,South West,Fog,Heavy,355
2025-12-13,South West,Fog,Moderate,1185
2025-12-14,South West,Fog,Light,4641
2025-12-15,South West,Fog,Gridlock,3672
2025-12-16,South West,Clear,Heavy,10000
2025-12-17,South West,Rain,Moderate,321
2025-12-18,South West,Clear,Heavy,10000
2025-12-19,South West,Rain,Moderate,4399
2025-12-20,South West,Rain,Heavy,4155
2025-12-21,South West,Rain,Light,202
2025-12-22,South West,Clear,Heavy,10000
2025-12-23,South West,Fog,Heavy,2660
2025-12-24,South West,Rain,Gridlock,4249
2025-12-25,South West,Clear,Moderate,10000
2025-12-26,South West,Fog,Moderate,216
2025-12-27,South West,Fog,Light,3539
2025-12-28,South West,Fog,Light,4727
2025-12-29,South West,Rain,Gridlock,1588
2025-12-30,South West,Clear,Heavy,10000
2025-12-31,South West,Rain,Heavy,4337
2025-01-01,East Anglia,Rain,Heavy,3904
2025-01-02,East Anglia,Rain,Heavy,418
2025-01-03,East Anglia,Clear,Gridlock,10000
2025-01-04,East Anglia,Clear,Moderate,10000
2025-01-05,East Anglia,Snow,Light,3436
2025-01-06,East Anglia,Rain,Heavy,1042
2025-01-07,East Anglia,Snow,Moderate,2290
2025-01-08,East Anglia,Rain,Heavy,1049
2025-01-09,East Anglia,Clear,Gridlock,10000
2025-01-10,East Anglia,Rain,Heavy,1531
2025-01-11,East Anglia,Fog,Moderate,2525
2025-01-12,East Anglia,Rain,Moderate,932
2025-01-13,East Anglia,Rain,Moderate,3327
2025-01-14,East Anglia,Rain,Heavy,3112
2025-01-15,East Anglia,Fog,Moderate,4609
2025-01-16,East Anglia,Clear,Moderate,10000
2025-01-17,East Anglia,Clear,Heavy,10000
2025-01-18,East Anglia,Clear,Light,10000
2025-01-19,East Anglia,Fog,Light,937
2025-01-20,East Anglia,Fog,Heavy,4001
2025-01-21,East Anglia,Rain,Heavy,1523
2025-01-22,East Anglia,Clear,Heavy,10000
2025-01-23,East Anglia,Storm,Heavy,2488
2025-01-24,East Anglia,Rain,Moderate,3524
2025-01-25,East Anglia,Fog,Moderate,2811
2025-01-26,East Anglia,Fog,Light,251
2025-01-27,East Anglia,Clear,Gridlock,10000
2025-01-28,East Anglia,Clear,Heavy,10000
2025-01-29,East Anglia,Rain,Heavy,4570
2025-01-30,East Anglia,Clear,Heavy,10000
2025-01-31,East Anglia,Clear,Heavy,10000
2025-02-01,East Anglia,Rain,Moderate,2683
2025-02-02,East Anglia,Rain,Light,3416
2025-02-03,East Anglia,Clear,Gridlock,10000
2025-02-04,East Anglia,Clear,Heavy,10000
2025-02-05,East Anglia,Rain,Heavy,3604
2025-02-06,East Anglia,Rain,Heavy,2899
2025-02-07,East Anglia,Rain,Heavy,1356
2025-02-08,East Anglia,Rain,Moderate,4705
2025-02-09,East Anglia,Rain,Moderate,2605
2025-02-10,East Anglia,Clear,Moderate,10000
2025-02-11,East Anglia,Clear,Heavy,10000
2025-02-12,East Anglia,Rain,Heavy,3044
2025-02-13,East Anglia,Fog,Heavy,1863
2025-02-14,East Anglia,Rain,Heavy,333
2025-02-15,East Anglia,Rain,Light,866
2025-02-16,East Anglia,Rain,Heavy,3541
2025-02-17,East Anglia,Rain,Heavy,225
2025-02-18,East Anglia,Rain,Heavy,1868
2025-02-19,East Anglia,Rain,Moderate,1414
2025-02-20,East Anglia,Fog,Heavy,3392
2025-02-21,East Anglia,Fog,Heavy,3012
2025-02-22,East Anglia,Rain,Moderate,2474
2025-02-23,East Anglia,Rain,Moderate,3801
2025-02-24,East Anglia,Rain,Gridlock,1184
2025-02-25,East Anglia,Rain,Moderate,2834
2025-02-26,East Anglia,Clear,Heavy,10000
2025-02-27,East Anglia,Clear,Moderate,10000
2025-02-28,East Anglia,Rain,Heavy,1387
2025-03-01,East Anglia,Rain,Moderate,1679
2025-03-02,East Anglia,Storm,Moderate,1623
2025-03-03,East Anglia,Clear,Heavy,10000
2025-03-04,East Anglia,Clear,Heavy,10000
2025-03-05,East Anglia,Clear,Heavy,10000
2025-03-06,East Anglia,Clear,Gridlock,10000
2025-03-07,East Anglia,Clear,Heavy,10000
2025-03-08,East Anglia,Rain,Light,344
2025-03-09,East Anglia,Clear,Light,10000
2025-03-10,East Anglia,Fog,Heavy,4713
2025-03-11,East Anglia,Rain,Heavy,3691
2025-03-12,East Anglia,Clear,Heavy,10000
2025-03-13,East Anglia,Rain,Heavy,1408
2025-03-14,East Anglia,Clear,Gridlock,10000
2025-03-15,East Anglia,Clear,Light,10000
2025-03-16,East Anglia,Clear,Light,10000
2025-03-17,East Anglia,Rain,Moderate,4967
2025-03-18,East Anglia,Clear,Heavy,10000
2025-03-19,East Anglia,Clear,Heavy,10000
2025-03-20,East Anglia,Clear,Heavy,10000
2025-03-21,East Anglia,Storm,Moderate,974
2025-03-22,East Anglia,Clear,Light,10000
2025-03-23,East Anglia,Rain,Moderate,2718
2025-03-24,East Anglia,Fog,Heavy,4214
2025-03-25,East Anglia,Clear,Gridlock,10000
2025-03-26,East Anglia,Rain,Heavy,326
2025-03-27,East Anglia,Rain,Moderate,3977
2025-03-28,East Anglia,Rain,Heavy,2641
2025-03-29,East Anglia,Fog,Moderate,4767
2025-03-30,East Anglia,Clear,Moderate,10000
2025-03-31,East Anglia,Storm,Gridlock,1286
2025-04-01,East Anglia,Storm,Moderate,2206
2025-04-02,East Anglia,Rain,Moderate,2727
2025-04-03,East Anglia,Rain,Gridlock,2992
2025-04-04,East Anglia,Rain,Moderate,1750
2025-04-05,East Anglia,Rain,Moderate,4640
2025-04-06,East Anglia,Rain,Light,3368
2025-04-07,East Anglia,Clear,Heavy,10000
2025-04-08,East Anglia,Rain,Heavy,4807
2025-04-09,East Anglia,Rain,Heavy,4783
2025-04-10,East Anglia,Clear,Gridlock,10000
2025-04-11,East Anglia,Clear,Heavy,10000
2025-04-12,East Anglia,Clear,Light,10000
2025-04-13,East Anglia,Rain,Moderate,2303
2025-04-14,East Anglia,Clear,Heavy,10000
2025-04-15,East Anglia,Clear,Heavy,10000
2025-04-16,East Anglia,Rain,Heavy,2460
2025-04-17,East Anglia,Rain,Heavy,3055
2025-04-18,East Anglia,Fog,Heavy,498
2025-04-19,East Anglia,Clear,Light,10000
2025-04-20,East Anglia,Rain,Moderate,4238
2025-04-21,East Anglia,Rain,Moderate,4390
2025-04-22,East Anglia,Clear,Heavy,10000
2025-04-23,East Anglia,Clear,Heavy,10000
2025-04-24,East Anglia,Clear,Heavy,10000
2025-04-25,East Anglia,Fog,Heavy,866
2025-04-26,East Anglia,Storm,Moderate,3695
2025-04-27,East Anglia,Rain,Light,1838
2025-04-28,East Anglia,Rain,Gridlock,2513
2025-04-29,East Anglia,Rain,Gridlock,3943
2025-04-30,East Anglia,Rain,Heavy,3954
2025-05-01,East Anglia,Rain,Gridlock,2522
2025-05-02,East Anglia,Rain,Heavy,3866
2025-05-03,East Anglia,Rain,Moderate,708
2025-05-04,East Anglia,Fog,Moderate,4284
2025-05-05,East Anglia,Clear,Heavy,10000
2025-05-06,East Anglia,Fog,Gridlock,2657
2025-05-07,East Anglia,Clear,Moderate,10000
2025-05-08,East Anglia,Rain,Moderate,2389
2025-05-09,East Anglia,Fog,Heavy,3170
2025-05-10,East Anglia,Clear,Light,10000
2025-05-11,East Anglia,Fog,Light,4366
2025-05-12,East Anglia,Rain,Heavy,52
2025-05-13,East Anglia,Clear,Heavy,10000
2025-05-14,East Anglia,Clear,Heavy,10000
2025-05-15,East Anglia,Rain,Heavy,3243
2025-05-16,East Anglia,Clear,Gridlock,10000
2025-05-17,East Anglia,Clear,Moderate,10000
2025-05-18,East Anglia,Fog,Light,720
2025-05-19,East Anglia,Fog,Heavy,4864
2025-05-20,East Anglia,Clear,Heavy,10000
2025-05-21,East Anglia,Rain,Heavy,3489
2025-05-22,East Anglia,Rain,Gridlock,3435
2025-05-23,East Anglia,Rain,Moderate,93
2025-05-24,East Anglia,Rain,Light,1338
2025-05-25,East Anglia,Clear,Light,10000
2025-05-26,East Anglia,Clear,Heavy,10000
2025-05-27,East Anglia,Rain,Heavy,853
2025-05-28,East Anglia,Fog,Heavy,3695
2025-05-29,East Anglia,Clear,Heavy,10000
2025-05-30,East Anglia,Rain,Heavy,3641
2025-05-31,East Anglia,Rain,Light,1004
2025-06-01,East Anglia,Rain,Moderate,699
2025-06-02,East Anglia,Clear,Moderate,10000
2025-06-03,East Anglia,Clear,Heavy,10000
2025-06-04,East Anglia,Clear,Gridlock,10000
2025-06-05,East Anglia,Clear,Heavy,10000
2025-06-06,East Anglia,Clear,Heavy,10000
2025-06-07,East Anglia,Clear,Heavy,10000
2025-06-08,East Anglia,Clear,Light,10000
2025-06-09,East Anglia,Clear,Moderate,10000
2025-06-10,East Anglia,Clear,Heavy,10000
2025-06-11,East Anglia,Clear,Heavy,10000
2025-06-12,East Anglia,Clear,Gridlock,10000
2025-06-13,East Anglia,Rain,Heavy,4983
2025-06-14,East Anglia,Rain,Moderate,253
2025-06-15,East Anglia,Clear,Light,10000
2025-06-16,East Anglia,Clear,Heavy,10000
2025-06-17,East Anglia,Clear,Gridlock,10000
2025-06-18,East Anglia,Rain,Heavy,1887
2025-06-19,East Anglia,Clear,Heavy,10000
2025-06-20,East Anglia,Rain,Gridlock,4600
2025-06-21,East Anglia,Storm,Moderate,2428
2025-06-22,East Anglia,Rain,Moderate,2785
2025-06-23,East Anglia,Rain,Gridlock,1006
2025-06-24,East Anglia,Rain,Gridlock,2555
